Event,Domain
"Weinar on ""AWS, Azure, and Google Cloud: Demystifying Multi-Cloud for Your Organization""",Cloud Computing
IEEE Computer Society Webinar: Open Cirrus Cloud Computing Testbed: Federated Data Centers for Open Source Systems and Services Research,Cloud Computing
Get your certificate on Introduction to Cloud Computing with Amazon Web Services,Cloud Computing
"Learn Distributed  Applications at Scale, Parallel Programming,cloud  Distributed Computing  with certification ",Cloud Computing
"How does cloud computing work?Understand cloud computing definition, concepts & jargon in layman's term with  certification from udemy",Cloud Computing
Cloud Computing Code Gladiators hackathon 2020 registration are open now,Cloud Computing
Cloud Fest 2021 Hackathon on cloud computing is due next month,Cloud Computing
Cloud & DevOps World 2020,Cloud Computing
Cloud Computing Workshop- Amazon Web Services 2020,Cloud Computing
Short Term Training Programme On CLOUD COMPUTING  2020,Cloud Computing
AWS Cloud Computing Internship in Pune,Cloud Computing
Cloud Computing Architecture Internship : Maxgen Technologies,Cloud Computing
Cloud Computing Internships | Microsoft Azure Cloud ... - Verzeo,Cloud Computing
Cloud  Internships  Evolet Technologies,Cloud Computing
 May 22 Talk on AWS Lambda with Luke Closs,Cloud Computing
"Global Expert Talk on ""Trends in Cloud Computing towards Industry Oriented Concepts""",Cloud Computing
Cloud Computing Certifications - Cloud Academy,Cloud Computing
10 Best Cloud Certifications to Pursue in 2020,Cloud Computing
The most valuable cloud computing certifications today | CIO,Cloud Computing
Virtual workshop on Cloud computing ,Cloud Computing
Cloud Computing courses | Cloud Computing Certifications ..,Cloud Computing
AWS Cloud Certification - Master the Cloud in 6 Weeks,Cloud Computing
Free C language course ,C
Free Workshop on Data Structure using C language,C
Free Workshop on Data Structure using C language,C
2 days workshop on C and C++ languages,C
bootcamp on fundamentals of c and java,C
Programming in C - The Complete Course,C
Advanced C Programming Course,C
C to Learn Programming Technique : C to Master Skills,C
C Programming For Beginners -Build Bank ATM Machine Software,C
Understanding the Basics of C Programming,C
"Learn and  get certification on ""Advanced C Programming: Pointers"" till 23rd july",C
C Programming For Beginners - Master the C Language,C
C Programming : Absolute For Beginners,C
C Programming:The best approach to learn C Language,C
Certified Programming Guide Of C Plus Plus Course,C
The ACM-ICPC International Collegiate Programming Contest,C
5 days Live Workshop for C Programming Basics! 3 days to go!,C
C Internship - C Programming Internship - By 10 Microsoft ,C
Summer Winter Internship in C Programming ...,C
C# Challenge,C
5 Things To Do Immediately About C programing,C
C programming Your Way To Success,C
How To Learn code in C,C
The Quickest & Easiest Way To learn C language,C
Internships for C coders,C
C Strategies For Beginners,C
5 Actionable Tips on C And Twitter.,C
The Ultimate Guide To C,C
The Secret of C,C
Get The Most Out of C language,C
The Best Way To C programming,C
How To Make Your Product Stand Out With C programming,C
c training,C
Read This Controversial Article And Find Out More About C,C
Best 50 Tips For C programming,C
Avoid The Top 10 C Mistakes,C
Succeed With C programing In 24 Hours,C
Avoid The Top 10 Mistakes Made By Beginning C,C
C Works Only Under These Conditions,C
Cracking The C Code,C
Can You Pass The C Test?,C
10 Secret Things You Didn't Know About C,C
Top 25 Quotes On C,C
Take 10 Minutes to Get Started With C,C
SuperEasy Ways To Learn Everything About C,C
3 Best C Certifications in 2020 [Ranked] - Hackr.io,C
C Programming Certification Course | Star Certification,C
Learn C Programming Language| C Certification Training ...,C
Learn C Programming with Online C Programming Courses ..,C
Online C Programming Certification Course | Best C ...,C
"The NEW CompTIA Network+ ""007"" Certification",Networking
Learn basics of networking.,Networking
Learn How to Build Step-by-Step ASP.NET Core App,Networking
ASP.NET Functions on Microsoft Azure 2 days expo,Networking
internship program for  a Full-stack .NET Developer?,Networking
Keeping up with Networking Series roles,Networking
AWS Networking in depth: Learn practically in 7 hours,Networking
OSI 7 Layers and Networking Background Concepts,Networking
IT Networking Fundamentals For Complete Beginners,Networking
CNP - Certified Network Principles,Networking
IT Networking Fundamentals For Complete Beginners,Networking
CNP - Certified Network Principles,Networking
PRTG Network Monitoring Course,Networking
Live session Secrets to Become a Network Engineer in a Programmable Age,Networking
Penetrating Networks for CompTIA PenTest+ webinar,Networking
Networking with Microsoft Windows Server 2016 (MS-20741B),Networking
3 day online conference on New Cisco Roadmap: Creating a Powerhouse IT Networking Team,Networking
hands on  Networking in Windows 10 Devices,Networking
TCP/IP Reference Model (Network Communications Course),Networking
Computer Networks: A Beginner’s guide to Computer Networking,Networking
The Complete Networking Fundamentals Course. Your CCNA start certification from udemy,Networking
Python 3 Network Programming - Build 5 Network Applications certification from udemy,Networking
Decom systems is hiring Computer  Networking Engineer,Networking
Networking Competition | IEEE SoutheastCon 2019,Networking
"Communication and Network Technology (ICCNT 2020)--JA,SCOPUS",Networking
Venue: Castille Paris,Networking
"Conference on Communication and Network Security (ICCNS 2020)--EI,Scopus",Networking
Ads,Networking
1. Top IT Networking Fundamentals Courses Online,Networking
What is Digital Networking? — Digital Road,Networking
Data Communications and Network Services,Networking
"Data Communication Jobs, 155 Data Communication",Networking
Network & Communications Management Careers,Networking
How to Become a Network Engineer,Networking
Communication network data analytics Assignments,Networking
Toogit,Networking
Data Networking - Sr . Technical Consultant,Networking
Webinar: SNCS - Sysmex Network Communication Systems ,Networking
Cisco Industrial Networking Specialist,Networking
Top Certification in Networking Courses | SpringPeople Blog,Networking
The Best Computer Networking Certifications - CompTIA,Networking
Network+ (Plus) Certification | CompTIA IT Certifications,Networking
Best Certificates in Computer Networking 2020,Networking
"Network Administrator Training, Jobs, Salary, Certifications ...",Networking
"Network Admin IT Certification Path | CompTIA, Cisco ...",Networking
5 Top Paying IT Networking Certifications in 2019 - I-Medita,Networking
Networking certification guide - SearchNetworking - TechTarget,Networking
"Career Pathways & Certifications: Networking, IT, Cybersecurity",Networking
"Networking Certifications, Computer Networking Certification",Networking
Networking certification portfolio | Certification and Learning,Networking
Widen your career opportunities with ReactJS Training ,Javascript
" Programming Foundations Training with JavaScript, HTML and CSS by Duke University ",Javascript
JavaScript Introduction Certification by W3C,Javascript
" HTML, CSS, and Javascript for Web Developers Training by Johns Hopkins",Javascript
 Interactivity with JavaScript by University of Michigan Training for free,Javascript
 Programming for the Web with JavaScript by University of Pennsylvania ,Javascript
Exclusive talk on Modern JavaScript From The Beginning ,Javascript
Webinar on  ES6 Javascript: The Complete Developer’s Guide ,Javascript
 JavaScript Essential Training (LinkedIn Learning – Lynda),Javascript
The Complete JavaScript Course 2019: Build Real Projects!,Javascript
online session Essentials in JavaScript ES6 - A Fun and Clear Introduction,Javascript
JavaScript Essentials 2019 Mini Course,Javascript
The Complete Full-Stack JavaScript Course!,Javascript
START YOUR CAREER WITH ANGULARJS TRAINING AT MINDMAJIX ,Javascript
START YOUR CAREER WITH Javascript TRAINING AT MINDMAJIX ,Javascript
JavaScript Bootcamp - Build Real World Applications,Javascript
Vue.js Fast Crash Course,Javascript
The Complete Node.js Developer Course (3rd Edition),Javascript
JavaScript For Beginners - Learn JavaScript From Scratch,Javascript
jQuery workshop : JavaScript and AJAX Coding Bible,Javascript
JavaScript 2019: JavaScript ES6 training,Javascript
Microsoft Certified Solutions Associate (MCSA: Web Applications) Exam 70-480: Programming in HTML5 with JavaScript and CSS3,Javascript
CIW JavaScript Specialist,Javascript
Microsoft Technology Associate (MTA) Exam 98-382: Introduction to Programming Using JavaScript,Javascript
Join Free demo on java scripting Training ,Javascript
Certified JavaScript Developer,Javascript
The JavaScript Developer Certificate,Javascript
BUILD YOUR CAREER WITH ANGULARJS TRAINING AT MINDMAJIX ,Javascript
ACCELERATE YOUR CAREER WITH ANGULARJS TRAINING AT MINDMAJIX ,Javascript
AngularJS Workshop (Pre requisites),Javascript
Webinar on JavaScript Bootcamp for Beginners,Javascript
Register for Webinar with San Jose JavaScript Study Group [Live-Online],Javascript
"Webinar on ""Learn to Code Denver: JavaScript 201 - Functions & Scope""",Javascript
"Access ""The Complete JavaScript Course 2020: Build Real Projects!"" and get certification from udemy",Javascript
Learn and build projects with pure JavaScript (No frameworks or libraries) and get certification to enrich your resume,Javascript
Job listings principal senior frontend developer javascript banking oracle india pvtl ltd bengaluru,Javascript
Zinier Technologies is hiring  Technical Lead - Frontend Development - Javascript/ AngularJS,Javascript
"Opening for UI DEVELOPER (JAVASCRIPT, HTML5, CSS3, SASS) at SOTI at gurgaon",Javascript
The Complete JavaScript Course - Beginner to Professional,Javascript
JavaScript Tutorial: Learn JavaScript For Free | Codecademy,Javascript
JavaScript Tutorial - W3Schools,Javascript
JS1k - The JavaScript code golfing competition,Javascript
JavaScript Coding Challenges - DEV - Dev.to,Javascript
JavaScript Developer (Fresher/Intern) at JS Tigers • Bengaluru ,Javascript
Job Alert : Front-End Engineer - React.js/Javascript,Javascript
JavaScript Certification - W3Schools,Javascript
JavaScript Certification for IT professionals | Free Full ,Javascript
JavaScript Specialist | CIW,Javascript
Certification - JavaScript Developer I - Trailhead - Salesforce,Javascript
JavaScript - Certification Course for Beginners | Udemy,Javascript
Free course on Machine learning.,Machine Learning
Take the course of ML and upgrade your skills,Machine Learning
Apply for the Machine learning internship!!,Machine Learning
work on live projects in Machine Learning  Foundations,Machine Learning
CodeSpeedy Technology Private Limited is looking for: MachineLearning Internship.,Machine Learning
"See more jobs like Technogeekscs - , Machine LearningInstitute - Internship Program",Machine Learning
"Online Live Training Program - Machine Learning | Techfest, IIT Bombay ",Machine Learning
Keras Certification Course with Deeep Learning ,Machine Learning
Attend the workshop of machine learning.,Machine Learning
Bootcamp for ML techies,Machine Learning
 Webinar on Machine Learning and Decision-Making with ACM Fellow Michael I. Jordan,Machine Learning
VIP Reminder:  Webinar on Machine Learning and Decision-Making with ACM Fellow Michael I. Jordan,Machine Learning
"Reminder to Register for ACM India Industry Webinar on 14 December with Sriram Rajamani: ""Program Synthesis Meets Machine Learning""",Machine Learning
"Reminder:Webinar with Adam Paszke, Co-Author of PyTorch: ""PyTorch: A Modern Library for Machine Learning""",Machine Learning
"Access""Machine Learning A-Z™: Hands-On Python & R In Data Science"" and get certification  on completion ",Machine Learning
"Get certification on ""Clustering & Classification With Machine Learning In Python""",Machine Learning
Hiring for Principal Data Scientist - Machine/Deep Learning - NLP/Tensorflow :Register to apply,Machine Learning
Want to be Machine Learning Scientist?CAREER MAKERS is hiring for the position,Machine Learning
ML Contests: Machine Learning & Data Science Competitions,Machine Learning
"Knocktober – Machine learning Competition, 21st Oct, Analytics Vidhya",Machine Learning
Machine Learning Internship l Machine Learning Projects l ,Machine Learning
Online Summer Internship Program in Machine Learning,Machine Learning
Machine Learning Internship:Exa Mobility India Private Limited -,Machine Learning
March 25 Talk on Machine Learning and Decision-Making with ACM Fellow Michael I. Jordan,Machine Learning
"February 26 Talk with Tulsee Doshi: ""Fairness in Machine Learning""",Machine Learning
"February 5 Talk on Reliability Engineering and Incident Response with Author Lorin Hochsteinoshi: ""Fairness in Machine Learning""",Machine Learning
"Talk with HCI Pioneer Joseph A. Konstan, ""Recommender Systems: Beyond Machine Learning""",Machine Learning
Building Your Next Machine Learning Dataset :Get Ready In 3 Days - Live Webinar,Machine Learning
A Webinar On  How To Develop Logistic Regression Model Using Python,Machine Learning
" A Live Session On ""What Enterprise Should Know About Machine Learning"" ",Machine Learning
Free Online Webinar On Machine Learning,Machine Learning
Machine Learning Internship:FOXARCO ,Machine Learning
"Machine Learning Intern :Part-time, Internship, Fresher",Machine Learning
Guest Lecture on Advances in Machine Learning,Machine Learning
"Workshop On ""Fundamentals of MATLAB""",Machine Learning
"Session on ""How To Build A Machine Learning Model""",Machine Learning
Matlab Expo,Machine Learning
Machine Learning Jobs in Pune,Machine Learning
Machine Learning Certification - Become ML Expert in 90 Days,Machine Learning
Machine Learning by Stanford University,Machine Learning
Introduction to MATLAB® Webinar materials,Machine Learning
Signal Processing for Deep Learning and Machine Learning,Machine Learning
Hands-On Virtual Lab: Deep Learning Workshop,Machine Learning
Systematic Approach for Control Design using MATLAB and Simulink,Machine Learning
Machine Learning for Agriculture,Machine Learning
"A Career in AI and ML – What, Why and How???",Machine Learning
AI/ML week-webinar series,Machine Learning
 Going Beyond your First ML Project -,Machine Learning
AI & ML - State of the Art and Future.,Machine Learning
Webinar: Deep Neural Networks in Microscopy ,Machine Learning
Opportunity to learn blockchain basics from experts.,Blockchain
Looking for internship in blockchain !!!,Blockchain
hands on experience in Blockchain with experts,Blockchain
Bootcamp on blockchain absolutely free,Blockchain
"ACM India Industry Webinar, Sat Dec 1 at 11am IST with Dr. Pandurang Kamat: ""Blockchain in the Enterprise - Creating Value Beyond the Hype",Blockchain
"Webinar on ""How to Launch a Central Bank Digital Currency on the Ethereum Blockchain""",Blockchain
On-Demand Webinar: Blockchain and the Future of Commerce,Blockchain
Learn the key elements of blockchain and Bitcoin in this bestselling video course with certification from udemy,Blockchain
"Get certification on ""Blockchain A-Z™: Learn How To Build Your First Blockchain""",Blockchain
Learn Blockchain with Online Blockchain Courses | edX,Blockchain
Blockchain and Ethereum Certification Training - Edureka,Blockchain
Blockchain Coding Contest Offers $100K Prize | PYMNTS.com,Blockchain
International blockchain Olympiad,Blockchain
Why Learn Blockchain | Internship in Blockchain - Verzeo,Blockchain
Blockchain Hackathon,Blockchain
Blockchain Training ,Blockchain
Blockchain Systems in Pharmaceuticals Transform Quality and Compliance,Blockchain
Blockchain and Bitcoin Conference (BBC),Blockchain
Crypto Trends: What Cryptocurrency Growth Means for AML,Blockchain
Getting Value from Blockchain in Healthcare Webinar,Blockchain
International Conference on Mathematical Research for Blockchain Economy (MARBLE),Blockchain
Bitcoin conference,Blockchain
"WEBINAR Alternative Finance Summit : Marketplace Lending, Cryptocurrency and Crowdfunding",Blockchain
Learn Blockchain Technology - In Collaboration With eCornell?,Blockchain
Blockchain and Bitcoin Fundamentals. ...,Blockchain
Ethereum Blockchain Developer Bootcamp With Solidity (2020) ...,Blockchain
1. Cryptocurrency Online Course - Become an Expert Today?,Blockchain
CryptoCurrency Certification Consortium (C4),Blockchain
Understanding the evolving cryptocurrency market:,Blockchain
"Making sense of bitcoin, cryptocurrency and blockchain",Blockchain
"Cryptocurrency - Bitcoin, Etherum & Ripple Dissertation ...",Blockchain
Guide: What is Bitcoin and how does Bitcoin work?,Blockchain
Bitcoin halving: Here's what you need to know,Blockchain
Bitcoin 2020 Is Moving To 2021 In Los Angeles!,Blockchain
Asia Crypto Week 2020,Blockchain
Festival blockchain,Blockchain
Blockchain Tech Summit 2020,Blockchain
Crypto Fest 2020,Blockchain
"European Blockchain Convention, Barcelona 2021",Blockchain
The Blockchain Story : Make in India Summit,Blockchain
International Trade Blockchain World - Virtual Conference,Blockchain
Blockchain Expo Europe 2020,Blockchain
Blockchain Jobs in India (Jul 2020) ,Blockchain
Cryptocurrency Jobs curates the best new blockchain jobs at leading companies and startups,Blockchain
Blockchain Jobs: Is One Right for You?,Blockchain
Blockchain Certification | Blockchain Training Course,Blockchain
Best Blockchain Certification Globally: Blockchain Training,Blockchain
Blockchain Essentials - Free Blockchain Course by IBM ...,Blockchain
Blockchain Courses | Coursera,Blockchain
Blockchain Certification: How to Become a Blockchain Expert ...,Blockchain
Training on Oracle Big Data,Data Science
Become Data Analyst in one month.,Data Science
Upgrade your skills with Big data course,Data Science
Free courses on data science,Data Science
BIGIT - Annual Data Science Conference & Exhibition (BIGIT The 7th Annual Data Science Show),Data Science
great job opportunities for data scientists.,Data Science
Big Data for Enterprise: Managing Data and Values jobs are awaiting,Data Science
Cracking Careers in Data Science,Data Science
Become part of talk on Big Data & Hadoop,Data Science
Talk on Tips and Tricks to Build Effective Dashboards with Tableau Desktop,Data Science
 talk on Data Warehousing and Analytics in  Microsoft Azure,Data Science
hear experts talk on How Big Data is Driving Business Transformation,Data Science
"Online Live Training Program - Data Science | Techfest, IIT Bombay ",Data Science
Big Data Online Training ,Data Science
Adobe analytical Training - Free Demo ,Data Science
"Webinar on 20 June with Lipika Dey:""Text Analytics for Health Care""",Data Science
attend the online conference on Oracle Data Analytics,Data Science
Seminar on 5 Useful Data Analysis Expressions (DAX) Functions for Power BI Professionals,Data Science
online conference on What it Needs to be a Data Scientist - Roadmap Explained?,Data Science
Seventh RBCDSAI Workshop on Recent Progress in Data Science and AI,Data Science
3 days workshop on  Power BI: Data Analysis Made Easy,Data Science
learn How to Build Effective Data Communications with Tableau Desktop 3 day workshops,Data Science
attend 10 hour workshop on Introduction to Data Analysis Using Microsoft Excel,Data Science
Hands-On Power BI for Data Visualization,Data Science
Webinar on Data Science Virtual Informational Session,Data Science
Webinar on Galvanize Remote Part-time Data Science Information Session,Data Science
Tensorflow Deep Learning - Data Science in Python from udemy with certification,Data Science
IBM Data Science Professional Certification from coursera,Data Science
World Data Science Hackathon  is coming soon,Data Science
HIRING A PART-TIME SUPPORTER FOR DATA ANALYST OR DATA SCIENTIST at PLATINUS TECHNOLOGIES PVT.LTD,Data Science
Veda Semantics is hiring for  Data Analyst / Data Scientist position,Data Science
Dream to be a Sr. Data Analyst? Axim Technologies is hiring now,Data Science
DataHack & DSAT,Data Science
Data Science - Intern - Only Final Year Student : Quikkloan.com - Digital loan marketplace,Data Science
IIT Roorkee launches online summer training program on Data Science,Data Science
 Data Science Fresher Intern:Softtronix IT Solution,Data Science
Data Science jobs at Siemens: Know the hiring process,Data Science
Data Analytics Internship:Think Analytics India Private Limited,Data Science
Job opening for Data Scientist,Data Science
Webinar On Data Science ,Data Science
Become a Data Analyst - 11-Month online course?,Data Science
Data Science Training Course - In Collaboration with IBM?,Data Science
"Gartner Data & Analytics Summit, (Grapevine, TX), 23-26 March, 2020",Data Science
AI and Big Data Expo,Data Science
International Conference on Big Data Analytics and Data Science,Data Science
Gartner Data and Analytics Summit,Data Science
Big Data Analysis and Data Mining. Virtual.,Data Science
Conference On Big Data and Data Mining .,Data Science
"Data Festival 2020. Munich, Germany",Data Science
"Big Data Expo North America. Santa Clara, CA, USA",Data Science
Online certifications for free!!!,Other
Oracle certification is here!!!,Other
Apply for the trending certifications of 2019,Other
Top IT certifications are in your way,Other
Get certified from top institutes.,Other
webinar on How to Get CISSP Certified: 2020 Edition,Other
Boost Your Team's Knowledge with ITIL 4 Certification,Other
SuryaKranti Solar Challenge India ,Other
Creative Writing Contest 2020 ,Other
BICSI ITS Technician Training,Other
IG PAN India Contest,Other
ContiQuest - Quest for Tech Thirst,Other
Techquiz is live now!!!,Other
participate in National skill test,Other
Creating Social Media content contest with exiting prizes,Other
Blog writing contest: Exciting New cash prize,Other
Compete in innovation challenge with great ideas,Other
Scholarship test for cs students,Other
showcase your cool projects in this project competetion,Other
Innovate in covid-19,Other
Hvac global innovation challenge ,Other
Nae disha dyankatta online competetion,Other
2020 international design competetion,Other
get your brilliant ideas in this innovation challenge,Other
Web Vulnerability Assessment and Penetration Testing (CVPS) Course In GHaziabad Noida Delhi ,Other
Free demo on SSRS course ,Other
BEST SAP COURSE IN COIMBATORE ,Other
Logic Development classes!join today,Other
2020 July to Dec semester - courses open for enrollment!,Other
Boost your skills by this course,Other
Trending courses of 2020.,Other
Upgrade your skills during this covid period,Other
5 Steps to Master Microsoft Excel: Workbooks,Other
Learn Creating a Windows Virtual Machine in Microsoft Azure in 10 days,Other
7 Citrix Secrets: How to Upskill Your Citrix Skills,Other
10 Reasons to learn on Microsoft Dynamics 365,Other
learn 7 Strategies for Achieving Customer Service Excellence,Other
 Get Started with Microsoft 365 and be an expert ,Other
Mastering Microsoft Teams - The Future of Teamwork,Other
Exploring the New Office 365,Other
 Master Agile Scrum and its Benefits by this course,Other
PowerPoint 2016: 10 Tips to Master Presentations,Other
master Office 365 Design Insights,Other
TechExpo 2020 ,Other
HOTWAX Industrial expo,Other
Kirloskar Industrial expo,Other
one day event on Critical Thinking: Developing Problem-Solving & Decision-Making Skills,Other
IT Pros: What's New in Windows Server 2019 exhibition,Other
live expo on Microsoft Word Essentials: Tips and Tricks for Better Productivity,Other
"Grand event on SharePoint 2019 ""Wow"" | First Look at new SharePoint 2019",Other
Software Development Training ,Development Process
Online conference of GIDS.Lead Dev: Refreshing Software Professional Development,Development Process
Learn How the Internet Works & the Web Development Process from udemy with certification,Development Process
The Software Development Process - The Complete Course along with certifcation,Development Process
"Hire For R&D - API - Process Development - Atchutapuram, Vizag at 2Coms Consulting Pvt Ltd.",Development Process
Amway India Enterprises Pvt Ltd is hiring Associate Manager - Process Development,Development Process
Software Development Engineer Intern(2020 graduates and 6Months,Development Process
